stim_ID,true_label,bg_hue,bg_r,bg_g,bg_b,obj_r,obj_g,obj_b,bg_int,obj_int,delta_int,bg_sat,obj_sat,delta_sat,hsv_bg,hsv_obj,delta_hsv
0,gray_d,gray,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3,-0.3,0.0,0.0,0.0,"[0.000000,0.000000,0.000000]","[0.000000,0.000000,0.300000]","[0.000000,0.000000,0.300000]"
1,gray_d,gray,0.7,0.7,0.7,0.3,0.3,0.3,0.7,0.3,0.4,0.0,0.0,0.0,"[0.000000,0.000000,0.700000]","[0.000000,0.000000,0.300000]","[0.000000,0.000000,-0.400000]"
2,gray_d,red,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,0.0,0.0,0.0,"[0.000000,0.000000,0.100000]","[0.000000,0.000000,0.300000]","[0.000000,0.000000,0.200000]"
3,gray_d,red,0.09999999999999998,0.04999999999999999,0.04999999999999999,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,0.5,0.0,0.5,"[0.000000,0.500000,0.100000]","[0.000000,0.000000,0.300000]","[0.000000,-0.500000,0.200000]"
4,gray_d,red,0.09999999999999998,0.0,0.0,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,1.0,0.0,1.0,"[0.000000,1.000000,0.100000]","[0.000000,0.000000,0.300000]","[0.000000,-1.000000,0.200000]"
5,gray_d,red,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.3,0.2,0.0,0.0,0.0,"[0.000000,0.000000,0.500000]","[0.000000,0.000000,0.300000]","[0.000000,0.000000,-0.200000]"
6,gray_d,red,0.5,0.25,0.25,0.3,0.3,0.3,0.5,0.3,0.2,0.5,0.0,0.5,"[0.000000,0.500000,0.500000]","[0.000000,0.000000,0.300000]","[0.000000,-0.500000,-0.200000]"
7,gray_d,red,0.5,0.0,0.0,0.3,0.3,0.3,0.5,0.3,0.2,1.0,0.0,1.0,"[0.000000,1.000000,0.500000]","[0.000000,0.000000,0.300000]","[0.000000,-1.000000,-0.200000]"
8,gray_d,green,0.04999999999999999,0.09999999999999998,0.04999999999999999,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,0.5,0.0,0.5,"[0.333333,0.500000,0.100000]","[0.000000,0.000000,0.300000]","[-0.333333,-0.500000,0.200000]"
9,gray_d,green,0.0,0.09999999999999998,0.0,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,1.0,0.0,1.0,"[0.333333,1.000000,0.100000]","[0.000000,0.000000,0.300000]","[-0.333333,-1.000000,0.200000]"
10,gray_d,green,0.25,0.5,0.25,0.3,0.3,0.3,0.5,0.3,0.2,0.5,0.0,0.5,"[0.333333,0.500000,0.500000]","[0.000000,0.000000,0.300000]","[-0.333333,-0.500000,-0.200000]"
11,gray_d,green,0.0,0.5,0.0,0.3,0.3,0.3,0.5,0.3,0.2,1.0,0.0,1.0,"[0.333333,1.000000,0.500000]","[0.000000,0.000000,0.300000]","[-0.333333,-1.000000,-0.200000]"
12,gray_d,blue,0.04999999999999999,0.04999999999999999,0.09999999999999998,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,0.5,0.0,0.5,"[0.666667,0.500000,0.100000]","[0.000000,0.000000,0.300000]","[0.333333,-0.500000,0.200000]"
13,gray_d,blue,0.0,0.0,0.09999999999999998,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,1.0,0.0,1.0,"[0.666667,1.000000,0.100000]","[0.000000,0.000000,0.300000]","[0.333333,-1.000000,0.200000]"
14,gray_d,blue,0.25,0.25,0.5,0.3,0.3,0.3,0.5,0.3,0.2,0.5,0.0,0.5,"[0.666667,0.500000,0.500000]","[0.000000,0.000000,0.300000]","[0.333333,-0.500000,-0.200000]"
15,gray_d,blue,0.0,0.0,0.5,0.3,0.3,0.3,0.5,0.3,0.2,1.0,0.0,1.0,"[0.666667,1.000000,0.500000]","[0.000000,0.000000,0.300000]","[0.333333,-1.000000,-0.200000]"
16,gray_d,yellow,0.09999999999999998,0.09999999999999998,0.04999999999999999,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,0.5,0.0,0.5,"[0.166667,0.500000,0.100000]","[0.000000,0.000000,0.300000]","[-0.166667,-0.500000,0.200000]"
17,gray_d,yellow,0.09999999999999998,0.09999999999999998,0.0,0.3,0.3,0.3,0.09999999999999998,0.3,-0.2,1.0,0.0,1.0,"[0.166667,1.000000,0.100000]","[0.000000,0.000000,0.300000]","[-0.166667,-1.000000,0.200000]"
18,gray_d,yellow,0.5,0.5,0.25,0.3,0.3,0.3,0.5,0.3,0.2,0.5,0.0,0.5,"[0.166667,0.500000,0.500000]","[0.000000,0.000000,0.300000]","[-0.166667,-0.500000,-0.200000]"
19,gray_d,yellow,0.5,0.5,0.0,0.3,0.3,0.3,0.5,0.3,0.2,1.0,0.0,1.0,"[0.166667,1.000000,0.500000]","[0.000000,0.000000,0.300000]","[-0.166667,-1.000000,-0.200000]"
20,gray_l,gray,0.29999999999999993,0.29999999999999993,0.29999999999999993,0.7,0.7,0.7,0.29999999999999993,0.7,-0.4,0.0,0.0,0.0,"[0.000000,0.000000,0.300000]","[0.000000,0.000000,0.700000]","[0.000000,0.000000,0.400000]"
21,gray_l,gray,1.0,1.0,1.0,0.7,0.7,0.7,1.0,0.7,0.30000000000000004,0.0,0.0,0.0,"[0.000000,0.000000,1.000000]","[0.000000,0.000000,0.700000]","[0.000000,0.000000,-0.300000]"
22,gray_l,red,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.7,0.7,0.7,0.49999999999999994,0.7,-0.2,0.0,0.0,0.0,"[0.000000,0.000000,0.500000]","[0.000000,0.000000,0.700000]","[0.000000,0.000000,0.200000]"
23,gray_l,red,0.49999999999999994,0.24999999999999997,0.24999999999999997,0.7,0.7,0.7,0.49999999999999994,0.7,-0.2,0.5,0.0,0.5,"[0.000000,0.500000,0.500000]","[0.000000,0.000000,0.700000]","[0.000000,-0.500000,0.200000]"
24,gray_l,red,0.49999999999999994,0.0,0.0,0.7,0.7,0.7,0.49999999999999994,0.7,-0.2,1.0,0.0,1.0,"[0.000000,1.000000,0.500000]","[0.000000,0.000000,0.700000]","[0.000000,-1.000000,0.200000]"
25,gray_l,red,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.7,0.7,0.7,0.8999999999999999,0.7,0.2,0.0,0.0,0.0,"[0.000000,0.000000,0.900000]","[0.000000,0.000000,0.700000]","[0.000000,0.000000,-0.200000]"
26,gray_l,red,0.8999999999999999,0.44999999999999996,0.44999999999999996,0.7,0.7,0.7,0.8999999999999999,0.7,0.2,0.5,0.0,0.5,"[0.000000,0.500000,0.900000]","[0.000000,0.000000,0.700000]","[0.000000,-0.500000,-0.200000]"
27,gray_l,red,0.8999999999999999,0.0,0.0,0.7,0.7,0.7,0.8999999999999999,0.7,0.2,1.0,0.0,1.0,"[0.000000,1.000000,0.900000]","[0.000000,0.000000,0.700000]","[0.000000,-1.000000,-0.200000]"
28,gray_l,green,0.24999999999999997,0.49999999999999994,0.24999999999999997,0.7,0.7,0.7,0.49999999999999994,0.7,-0.2,0.5,0.0,0.5,"[0.333333,0.500000,0.500000]","[0.000000,0.000000,0.700000]","[-0.333333,-0.500000,0.200000]"
29,gray_l,green,0.0,0.49999999999999994,0.0,0.7,0.7,0.7,0.49999999999999994,0.7,-0.2,1.0,0.0,1.0,"[0.333333,1.000000,0.500000]","[0.000000,0.000000,0.700000]","[-0.333333,-1.000000,0.200000]"
30,gray_l,green,0.44999999999999996,0.8999999999999999,0.44999999999999996,0.7,0.7,0.7,0.8999999999999999,0.7,0.2,0.5,0.0,0.5,"[0.333333,0.500000,0.900000]","[0.000000,0.000000,0.700000]","[-0.333333,-0.500000,-0.200000]"
31,gray_l,green,0.0,0.8999999999999999,0.0,0.7,0.7,0.7,0.8999999999999999,0.7,0.2,1.0,0.0,1.0,"[0.333333,1.000000,0.900000]","[0.000000,0.000000,0.700000]","[-0.333333,-1.000000,-0.200000]"
